Scraped At,Product Name,Selling Price,Original Price,Discount (shown),Discount % (calculated),Rating,Reviews,Product URL,Page
2026-03-02 00:05:36,Gwalior Suitings Navy Poly Blend Suit Lengths,0.537,0.1599,66% Off,-235.83,,(4),https://www.snapdeal.com/product/raymond-grey-polyester-blend-mens/644362672735#bcrumbSearch:men%20clothing,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Purple Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.327,0.799,59% Off,59.07,,(149),https://www.snapdeal.com/product/raymond-black-poly-blend-semiformals/396569500,1
2026-03-02 00:05:36,Makhanchor - Blue Cotton Men's Unstitched Shirt Piece ( Pack of 1 ),0.328,0.999,67% Off,67.17,,(2),https://www.snapdeal.com/product/fabkart-light-grey-polyester-blend/646735445135,1
2026-03-02 00:05:36,Raymond Beige Cotton Blend Unstitched Shirt pc,0.315,0.89,65% Off,64.61,,(167),https://www.snapdeal.com/product/siyaram-grey-poly-viscose-unstitched/622183837726,1
2026-03-02 00:05:36,Kundan Poly Viscose Black Matty Plain,0.316,0.701,55% Off,54.92,,(131),https://www.snapdeal.com/product/makhanchor-white-linen-unstitched-shirt/638963509441,1
2026-03-02 00:05:36,Makhanchor White Linen Men's Unstitched Shirt Piece ( Pack of 1 ),0.404,0.1199,66% Off,-236.95,,(90),https://www.snapdeal.com/product/shree-kundan-fabrics-beige-poly/627734527953,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Orange Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.327,0.799,59% Off,59.07,,(36),https://www.snapdeal.com/product/fabkart-turquoise-cotton-blend-mens/634493727609,1
2026-03-02 00:05:36,Maharaja - Off-White Cotton Blend Men's Unstitched Shirts & Trousers ( Pack of 2 ),0.601,0.2,70% Off,-200.5,,(35),https://www.snapdeal.com/product/m-maharaja-beige-poly-blend/675766377655,1
2026-03-02 00:05:36,Gwalior Grey Poly Blend Unstitched Pant Pc,0.281,0.849,67% Off,66.9,,(153),https://www.snapdeal.com/product/raymond-beige-cotton-blend-unstitched/622555600573,1
2026-03-02 00:05:36,Gwalior Suitings Navy BluePoly Blend Unstitched Pant Pc,0.281,0.699,60% Off,59.8,,(1),https://www.snapdeal.com/product/kundan-sulz-gwalior-multi-cotton/675291860865,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR White Cotton Blend Unstitched Shirt pc,0.39,0.999,61% Off,60.96,,(85),https://www.snapdeal.com/product/fabkart-light-blue-polyester-blend/652579198731,1
2026-03-02 00:05:36,Fabkart Light Grey Polyester Men's Unstitched Pant Piece ( Pack of 1 ),0.364,0.1099,67% Off,-231.21,,(120),https://www.snapdeal.com/product/makhanchor-white-linen-unstitched-shirt/660108798894,1
2026-03-02 00:05:36,Makhanchor White Linen Blended Unstitched Shirt pc Single,0.404,0.1199,66% Off,-236.95,,(78),https://www.snapdeal.com/product/kundan-sulz-gwalior-multi-cotton/686220008026,1
2026-03-02 00:05:36,Kundan Beige Poly Viscose Unstitched Pant Piece,0.502,0.2499,80% Off,-100.88,,(7),https://www.snapdeal.com/product/gwalior-suitings-multi-cotton-blend/642910363343,1
2026-03-02 00:05:36,Raymond Light Blue Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.577,0.1199,52% Off,-381.23,,(30),https://www.snapdeal.com/product/raymond-black-poly-blend-formals/650604854277,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers 2 Pieces ( 1 Pant & 1 Shirt Piece ),0.52,0.1099,53% Off,-373.16,,(1),https://www.snapdeal.com/product/shree-kundan-fabrics-black-poly/619461218571,1
2026-03-02 00:05:36,Gwalior Suitings Multi Cotton Blend Unstitched Shirts & Trousers,0.492,0.999,51% Off,50.75,,(1),https://www.snapdeal.com/product/makhanchor-blue-100-percent-cotton/636694366919,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR - Multi Cotton Blend Men's Unstitched Shirt Piece ( Pack of 2 ),0.465,0.999,53% Off,53.45,,(3),https://www.snapdeal.com/product/maharaja-orange-cotton-blend-unstiched/619848445027,1
2026-03-02 00:05:36,Gwalior Solid Brown Trouser Fabric,0.316,0.699,55% Off,54.79,,(26),https://www.snapdeal.com/product/kundan-sulz-gwalior-multi-cotton/671854805144,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers 1 Pant & 1 Shirt Pc For Men's,0.52,0.999,48% Off,47.95,,(424),https://www.snapdeal.com/product/raymond-grey-poly-viscose-unstitched/626528678608,1
2026-03-02 00:05:36,Gwalior Wheat Colour Trouser Fabric,0.382,0.799,52% Off,52.19,,(50),https://www.snapdeal.com/product/kundan-sulz-gwalior-pink-cotton/674905950226,1
2026-03-02 00:05:36,Raymond Khaki Polyester Men's Unstitched Pant Piece ( Pack of 1 ),0.551,0.1499,63% Off,-267.58,,(198),https://www.snapdeal.com/product/kundan-suz-gwalior-multi-cotton/640141389550,1
2026-03-02 00:05:36,Gwalior Multicolour Poly Viscose Unstitched Pant Piece Pack Of 3,0.581,0.1499,61% Off,-287.59,,(71),https://www.snapdeal.com/product/gwalior-wheat-colour-trouser-fabric/2009031015,1
2026-03-02 00:05:36,Kundan Sulz Gwalior Grey Cotton Blend Unstitched Pant Pc,0.327,0.799,59% Off,59.07,,(53),https://www.snapdeal.com/product/makhanchor-red-100-percent-cotton/655604014808,1
2026-03-02 00:05:36,BRANDLIFE Green Cotton Men's Unstitched Shirts & Trousers ( Pack of 1 ),0.682,0.1999,66% Off,-241.17,,(83),https://www.snapdeal.com/product/kundan-sulz-gwalior-offwhite-cotton/632916593483,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR White Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.327,0.799,59% Off,59.07,,(41),https://www.snapdeal.com/product/gwalior-suitings-white-poly-blend/1794471945,1
2026-03-02 00:05:36,Maharaja - Beige Cotton Blend Men's Unstitched Pant Piece ( Pack of 1 ),0.629,0.2,69% Off,-214.5,,(16),https://www.snapdeal.com/product/kundan-sulz-gwalior-yellow-cotton/647420605776,1
2026-03-02 00:05:36,Raymond Black Poly Blend Semi-formals Unstitched Pant Piece,0.61,0.1111,45% Off,-449.05,,(73),https://www.snapdeal.com/product/raymond-blue-poly-blend-unstitched/2010097261,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Beige Cotton Blend Unstitched Shirt pc,0.323,0.699,54% Off,53.79,,(15),https://www.snapdeal.com/product/kundan-suz-gwalior-white-cotton/658908559649,1
2026-03-02 00:05:36,Raymond Yellow Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.743,0.1999,63% Off,-271.69,,(3),https://www.snapdeal.com/product/raymond-khaki-polyester-blend-mens/674656223570,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers 1 Pant & 1 Shirt Pc For Men's,0.528,0.1099,52% Off,-380.44,,(51),https://www.snapdeal.com/product/kundan-sulz-gwalior-multi-poly/668080673194,1
2026-03-02 00:05:36,Raymond - Brown Viscose Men's Unstitched Pant Piece ( Pack of 1 ),0.558,0.1499,63% Off,-272.25,,(6),https://www.snapdeal.com/product/raymond-white-100-percent-cotton/633660351265,1
2026-03-02 00:05:36,Makhanchor White Linen Unstitched Shirt pc Single,0.479,0.699,31% Off,31.47,,(25),https://www.snapdeal.com/product/kundan-sulz-gwalior-orange-cotton/682639864709,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Purple Cotton Blend Unstitched Shirts & Trousers ( 1 Pant & 1 Shirt Piece ),0.505,0.1199,58% Off,-321.18,,(53),https://www.snapdeal.com/product/makhanchor-white-linen-mens-unstitched/631047831728,1
2026-03-02 00:05:36,Fabkart - Turquoise Cotton Blend Men's Unstitched Shirts & Trousers ( Pack of 1 ),0.281,0.799,65% Off,64.83,,(141),https://www.snapdeal.com/product/kundan-sulz-gwalior-multi-cotton/646150203007,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirt pc,0.656,0.2399,73% Off,-173.45,,(217),https://www.snapdeal.com/product/gwalior-multicolour-poly-viscose-unstitched/665008145138,1
2026-03-02 00:05:36,Makhanchor Blue 100 Percent Cotton Unstitched Shirt pc Single,0.328,0.999,67% Off,67.17,,(40),https://www.snapdeal.com/product/maharaja-offwhite-poly-blend-unstitched/632788686113,1
2026-03-02 00:05:36,Maharaja - Blue Linen Men's Unstitched Shirts & Trousers ( Pack of 1 ),0.679,0.25,73% Off,-171.6,,(11),https://www.snapdeal.com/product/makhanchor-blue-cotton-mens-unstitched/621061413108,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers 1 Pant & 1 Shirt Pc For Men's,0.52,0.999,48% Off,47.95,,(2),https://www.snapdeal.com/product/kundan-sulz-gwalior-multi-cotton/653546862025,1
2026-03-02 00:05:36,Makhanchor - White Linen Men's Unstitched Shirt Piece ( Pack of 1 ),0.48,0.1499,68% Off,-220.21,,,https://www.snapdeal.com/product/raymond-multicolor-polyester-blend-mens/624847404265,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Turquoise Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.327,0.799,59% Off,59.07,,(122),https://www.snapdeal.com/product/kundan-sulz-gwalior-grey-cotton/625753276067,1
